pv,upper,lower,precision,drive_high,drive_low,scan,mdel
SR01LM-PC-QUAD-02:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-QUAD-02:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-QUAD-03:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-QUAD-03:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-QUAD-04:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-QUAD-04:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-QUAD-05:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-QUAD-05:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-QUAD-06:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-QUAD-06:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-SEXT-01:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-SEXT-01:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-SEXT-02:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-SEXT-02:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-SEXT-03:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-SEXT-03:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-SEXT-05:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-SEXT-05:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-SEXT-06:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-SEXT-06:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-SEXT-07:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-SEXT-07:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-SQUAD-01:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-SQUAD-01:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-SQUAD-02:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-SQUAD-02:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-SQUAD-03:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
