index,field,pv,value,record_type
1419,state,SR09A-PC-HSTR-07:STATE,2,ai
1419,state,SR09A-PC-VSTR-07:STATE,2,ai
1422,enabled,SR09C-DI-EBPM-06:CF:ENABLED_S,1,ai
1433,enabled,SR09C-DI-EBPM-07:CF:ENABLED_S,1,ai
1439,error_sum,SR09A-PC-HSTR-08:ERCSUM,0,ai
1439,error_sum,SR09A-PC-VSTR-08:ERCSUM,0,ai
1439,state,SR09A-PC-HSTR-08:STATE,2,ai
1439,state,SR09A-PC-VSTR-08:STATE,2,ai
1447,enabled,SR09C-DI-EBPM-08:CF:ENABLED_S,1,ai
1449,error_sum,SR09A-PC-HSTR-09:ERCSUM,0,ai
1449,error_sum,SR09A-PC-VSTR-09:ERCSUM,0,ai
1449,state,SR09A-PC-HSTR-09:STATE,2,ai
1449,state,SR09A-PC-VSTR-09:STATE,2,ai
1459,error_sum,SR09A-PC-HSTR-10:ERCSUM,0,ai
1459,error_sum,SR09A-PC-VSTR-10:ERCSUM,0,ai
1459,state,SR09A-PC-HSTR-10:STATE,2,ai
1459,state,SR09A-PC-VSTR-10:STATE,2,ai
1461,enabled,SR09C-DI-EBPM-09:CF:ENABLED_S,1,ai
1478,enabled,SR09C-DI-EBPM-10:CF:ENABLED_S,1,ai
1480,error_sum,SR09A-PC-HSTR-11:ERCSUM,0,ai
1480,error_sum,SR09A-PC-VSTR-11:ERCSUM,0,ai
1480,state,SR09A-PC-HSTR-11:STATE,2,ai
1480,state,SR09A-PC-VSTR-11:STATE,2,ai
1490,offset,SR09A-PC-Q2N-16:OFFSET1,0,ai
1492,error_sum,SR09A-PC-HSTR-12:ERCSUM,0,ai
1492,error_sum,SR09A-PC-VSTR-12:ERCSUM,0,ai
1492,state,SR09A-PC-HSTR-12:STATE,2,ai
1492,state,SR09A-PC-VSTR-12:STATE,2,ai
1494,offset,SR09A-PC-Q1N-17:OFFSET1,0,ai
1497,enabled,SR09C-DI-EBPM-11:CF:ENABLED_S,1,ai
1515,enabled,SR10C-DI-EBPM-01:CF:ENABLED_S,1,ai
1521,offset,SR10A-PC-Q1N-01:OFFSET1,0,ai
1523,error_sum,SR10A-PC-HSTR-01:ERCSUM,0,ai
1523,error_sum,SR10A-PC-VSTR-01:ERCSUM,0,ai
1523,state,SR10A-PC-HSTR-01:STATE,2,ai
1523,state,SR10A-PC-VSTR-01:STATE,2,ai
1525,offset,SR10A-PC-Q2N-02:OFFSET1,0,ai
1535,error_sum,SR10A-PC-HSTR-02:ERCSUM,0,ai
1535,error_sum,SR10A-PC-VSTR-02:ERCSUM,0,ai
1535,state,SR10A-PC-HSTR-02:STATE,2,ai
1535,state,SR10A-PC-VSTR-02:STATE,2,ai
1537,enabled,SR10C-DI-EBPM-02:CF:ENABLED_S,1,ai
1541,error_sum,SR10A-PC-HSTR-03:ERCSUM,0,ai
1541,error_sum,SR10A-PC-VSTR-03:ERCSUM,0,ai
1541,state,SR10A-PC-HSTR-03:STATE,2,ai
1541,state,SR10A-PC-VSTR-03:STATE,2,ai
1547,enabled,SR10C-DI-EBPM-03:CF:ENABLED_S,1,ai
1552,error_sum,SR10A-PC-HSTR-04:ERCSUM,0,ai
1552,error_sum,SR10A-PC-VSTR-04:ERCSUM,0,ai
1552,state,SR10A-PC-HSTR-04:STATE,2,ai
1552,state,SR10A-PC-VSTR-04:STATE,2,ai
1562,error_sum,SR10A-PC-HSTR-05:ERCSUM,0,ai
1562,error_sum,SR10A-PC-VSTR-05:ERCSUM,0,ai
1562,state,SR10A-PC-HSTR-05:STATE,2,ai
1562,state,SR10A-PC-VSTR-05:STATE,2,ai
1567,enabled,SR10C-DI-EBPM-04:CF:ENABLED_S,1,ai
1575,error_sum,SR10A-PC-HSTR-06:ERCSUM,0,ai
1575,error_sum,SR10A-PC-VSTR-06:ERCSUM,0,ai
1575,state,SR10A-PC-HSTR-06:STATE,2,ai
1575,state,SR10A-PC-VSTR-06:STATE,2,ai
1578,enabled,SR10C-DI-EBPM-05:CF:ENABLED_S,1,ai
1585,enabled,SR10C-DI-EBPM-06:CF:ENABLED_S,1,ai
1591,error_sum,SR10A-PC-HSTR-07:ERCSUM,0,ai
1591,error_sum,SR10A-PC-VSTR-07:ERCSUM,0,ai
1591,state,SR10A-PC-HSTR-07:STATE,2,ai
1591,state,SR10A-PC-VSTR-07:STATE,2,ai
1599,enabled,SR10C-DI-EBPM-07:CF:ENABLED_S,1,ai
1601,error_sum,SR10A-PC-HSTR-08:ERCSUM,0,ai
1601,error_sum,SR10A-PC-VSTR-08:ERCSUM,0,ai
1601,state,SR10A-PC-HSTR-08:STATE,2,ai
1601,state,SR10A-PC-VSTR-08:STATE,2,ai
1611,error_sum,SR10A-PC-HSTR-09:ERCSUM,0,ai
1611,error_sum,SR10A-PC-VSTR-09:ERCSUM,0,ai
1611,state,SR10A-PC-HSTR-09:STATE,2,ai
1611,state,SR10A-PC-VSTR-09:STATE,2,ai
1613,enabled,SR10C-DI-EBPM-08:CF:ENABLED_S,1,ai
1622,error_sum,SR10A-PC-HSTR-10:ERCSUM,0,ai
1622,error_sum,SR10A-PC-VSTR-10:ERCSUM,0,ai
1622,state,SR10A-PC-HSTR-10:STATE,2,ai
1622,state,SR10A-PC-VSTR-10:STATE,2,ai
1629,enabled,SR10C-DI-EBPM-09:CF:ENABLED_S,1,ai
1631,error_sum,SR10A-PC-HSTR-11:ERCSUM,0,ai
1631,error_sum,SR10A-PC-VSTR-11:ERCSUM,0,ai
1631,state,SR10A-PC-HSTR-11:STATE,2,ai
1631,state,SR10A-PC-VSTR-11:STATE,2,ai
1641,offset,SR10A-PC-Q2N-15:OFFSET1,0,ai
1643,error_sum,SR10A-PC-HSTR-12:ERCSUM,0,ai
1643,error_sum,SR10A-PC-VSTR-12:ERCSUM,0,ai
1643,state,SR10A-PC-HSTR-12:STATE,2,ai
1643,state,SR10A-PC-VSTR-12:STATE,2,ai
1645,offset,SR10A-PC-Q1N-16:OFFSET1,0,ai
1648,enabled,SR10C-DI-EBPM-10:CF:ENABLED_S,1,ai
1676,enabled,SR11C-DI-EBPM-01:CF:ENABLED_S,1,ai
1682,offset,SR11A-PC-Q1N-01:OFFSET1,0,ai
1684,error_sum,SR11A-PC-HSTR-01:ERCSUM,0,ai
1684,error_sum,SR11A-PC-VSTR-01:ERCSUM,0,ai
1684,state,SR11A-PC-HSTR-01:STATE,2,ai
1684,state,SR11A-PC-VSTR-01:STATE,2,ai
1686,offset,SR11A-PC-Q2N-02:OFFSET1,0,ai
1696,error_sum,SR11A-PC-HSTR-02:ERCSUM,0,ai
1696,error_sum,SR11A-PC-VSTR-02:ERCSUM,0,ai
