pv,upper,lower,precision,drive_high,drive_low,scan
SR01A-PC-VSTR-09:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-VSTR-09:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-VSTR-10:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-VSTR-10:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-VSTR-11:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-VSTR-11:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01A-PC-VSTR-12:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01A-PC-VSTR-12:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01C-DI-EBPM-01:SA:X,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01C-DI-EBPM-01:SA:Y,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01C-DI-EBPM-02:SA:X,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01C-DI-EBPM-02:SA:Y,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01C-DI-EBPM-03:SA:X,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01C-DI-EBPM-03:SA:Y,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01C-DI-EBPM-04:SA:X,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01C-DI-EBPM-04:SA:Y,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01C-DI-EBPM-05:SA:X,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01C-DI-EBPM-05:SA:Y,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01C-DI-EBPM-06:SA:X,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01C-DI-EBPM-06:SA:Y,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01C-DI-EBPM-07:SA:X,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01C-DI-EBPM-07:SA:Y,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01C-DI-EBPM-08:SA:X,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01C-DI-EBPM-08:SA:Y,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01C-DI-EBPM-09:SA:X,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01C-DI-EBPM-09:SA:Y,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01C-DI-EBPM-10:SA:X,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01C-DI-EBPM-10:SA:Y,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01C-DI-EBPM-11:SA:X,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01C-DI-EBPM-11:SA:Y,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02-PC-DL1:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02-PC-DL1:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02-PC-DL2:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02-PC-DL2:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02-PC-DL3:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02-PC-DL3:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02-PC-DL4:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02-PC-DL4:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02-PC-DQ1-01:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02-PC-DQ1-01:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02-PC-DQ1-02:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02-PC-DQ1-02:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02-PC-O1X-01:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02-PC-O1X-01:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02-PC-O1X-02:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02-PC-O1X-02:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-A1N-04:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-A1N-04:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-A1N-13:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-A1N-13:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-A2N-05:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-A2N-05:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-A2N-12:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-A2N-12:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-HSTR-01:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-HSTR-01:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-HSTR-02:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-HSTR-02:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-HSTR-03:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-HSTR-03:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-HSTR-04:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-HSTR-04:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-HSTR-05:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-HSTR-05:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-HSTR-06:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-HSTR-06:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-HSTR-07:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-HSTR-07:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-HSTR-08:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-HSTR-08:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-HSTR-09:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-HSTR-09:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-HSTR-10:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-HSTR-10:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-HSTR-11:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-HSTR-11:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-HSTR-12:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
